序號,縣市,監測月份,測站,"二氧化硫<br />SO2<br />(ppb)","一氧化碳<br />CO<br />(ppm)","二氧化碳<br />CO2<br />(ppm)","臭氧<br />O3<br />(ppb)","懸浮微粒<br />PM 10 <br />(μg/m 3 )","細懸浮微粒<br />PM 2.5 <br />(μg/m 3 )","氮氧化物<br />NOx<br />(ppb)","一氧化氮<br />NO<br />(ppb)","二氧化氮<br />NO2<br />(ppb)","總碳氫化合物<br />THC<br />(ppmC)","總碳氫化合物<br />THC<br />(ppm)","非甲烷碳氫化合物<br />NMHC<br />(ppm)","甲烷<br />CH4<br />(ppm)","苯<br />BENZENE<br />(ppb)","甲苯<br />TOLUENE<br />(ppb)","乙苯<br />ETHYLBENZENE<br />(ppb)","間、對二甲苯<br />M_P_XYLENES<br />(ppb)","鄰二甲苯<br />O_XYLENE<br />(ppb)","風速<br />WIND_SPEED<br />(m/sec)","小時風速值<br />WS_HR<br />(m/sec)","溫度<br />AMB_TEMP<br />(℃)","大氣溫度<br />AMB_TEMP<br />(℃)","降雨強度<br />RAIN_INT<br />(㎜)","降雨量<br />RAINFALL<br />(mm)","酸雨<br />PH_RAIN<br />(pH)","相對濕度<br />RH<br />(percent)","導電度<br />RAIN_COND<br />(μmho/cm)","紫外線指數<br />UVB<br />(UVI)","小時風向值<br />WD_HR<br />(degrees)"
4667,高雄市,2009/01,楠梓,4.2,0.51,-,26.7,101,56,29.16,6.56,22.6,-,2.017,0.172,1.85,-,-,-,-,-,-,-,-,17.47,-,-,-,67.88,-,-,-
4668,高雄市,2009/01,前金,6.0,0.68,-,29.1,96,62,32.46,6.41,26.05,-,2.317,0.292,2.03,-,-,-,-,-,-,-,-,18.32,-,-,-,63.83,-,-,-
4669,高雄市,2009/01,前鎮,5.6,0.87,-,24.5,106,58,45.65,11.46,34.18,-,-,-,-,-,-,-,-,-,-,-,-,18.85,-,-,-,64.78,-,-,-
4670,高雄市,2009/01,復興,9.3,1.1,-,24.5,105,64,53.85,17.48,36.37,-,-,-,-,-,-,-,-,-,-,-,-,19.1,-,-,-,71.89,-,-,-
4671,高雄市,2009/01,小港,12.3,0.72,-,25.0,103,65,47.9,13.33,34.56,-,2.173,0.383,1.79,-,-,-,-,-,-,-,-,19.28,-,-,-,61.58,-,-,-
4672,高雄市,2009/01,鳳山,10.2,0.69,-,24.3,112,60,39.35,8.89,30.46,-,2.253,0.477,1.78,-,-,-,-,-,-,-,-,18.08,-,-,-,68.63,-,-,-
4673,高雄市,2009/01,林園,15.2,0.58,-,31.1,105,56,36.26,7.6,28.66,-,2.197,0.224,1.97,-,-,-,-,-,-,-,-,19.12,-,-,-,68.58,-,-,-
4674,高雄市,2009/01,大寮,9.2,0.57,-,28.1,105,62,33.09,5.59,27.45,-,-,-,-,-,-,-,-,-,-,-,-,18.47,-,-,-,62.16,-,-,-
4675,高雄市,2009/01,仁武,9.9,0.56,-,24.4,96,64,37.99,10.44,27.55,-,2.217,0.334,1.88,-,-,-,-,-,-,-,-,18.09,-,-,-,67.54,-,-,-
4676,高雄市,2009/01,橋頭,4.7,0.54,-,26.6,110,56,28.26,6.28,21.98,-,-,-,-,-,-,-,-,-,-,-,-,17.64,-,-,-,68.56,-,-,-
4677,高雄市,2009/01,美濃,3.2,0.46,-,30.7,84,48,17.3,3.04,14.29,-,-,-,-,-,-,-,-,-,-,-,-,18.45,-,-,-,72.26,-,-,-
4678,高雄市,2008/12,左營,6.4,0.69,-,28.2,94,59,34.66,5.82,28.83,-,2.263,0.347,1.92,-,-,-,-,-,-,-,-,20.33,-,-,-,68.79,-,-,-
4679,高雄市,2008/12,橋頭,4.7,0.57,-,25.5,106,55,32.67,7.18,25.49,-,-,-,-,-,-,-,-,-,-,-,-,20.19,-,-,-,68.57,-,-,-
4680,高雄市,2008/12,仁武,10.3,0.61,-,24.5,100,61,45.08,12.6,32.48,-,2.286,0.382,1.9,-,-,-,-,-,-,-,-,20.76,-,-,-,66.78,-,-,-
4681,高雄市,2008/12,大寮,14.5,0.59,-,26.7,106,62,35.86,6.92,28.93,-,-,-,-,-,-,-,-,-,-,-,-,20.77,-,-,-,63.01,-,-,-
4682,高雄市,2008/12,林園,13.4,0.57,-,35.9,106,56,34.89,7.79,27.33,-,2.133,0.185,1.95,-,-,-,-,-,-,-,-,21.32,-,-,-,69.26,-,-,-
4683,高雄市,2008/12,鳳山,9.7,0.76,-,26.7,116,57,40.84,9.29,31.55,-,2.215,0.468,1.75,-,-,-,-,-,-,-,-,20.63,-,-,-,67.62,-,-,-
4684,高雄市,2008/12,小港,11.2,0.74,-,26.2,105,61,50.12,13.78,36.34,-,2.12,0.399,1.72,-,-,-,-,-,-,-,-,21.87,-,-,-,60.86,-,-,-
4685,高雄市,2008/12,復興,9.9,1.18,-,26.9,112,62,56.21,16.2,40.01,-,-,-,-,-,-,-,-,-,-,-,-,21.72,-,-,-,70.82,-,-,-
4686,高雄市,2008/12,前鎮,5.8,0.92,-,26.4,110,57,47.58,10.59,36.99,-,-,-,-,-,-,-,-,-,-,-,-,21.45,-,-,-,64.25,-,-,-
4687,高雄市,2008/12,前金,6.6,0.75,-,30.3,103,61,35.57,6.24,29.33,-,2.443,0.378,2.07,-,-,-,-,-,-,-,-,20.98,-,-,-,63.39,-,-,-
4688,高雄市,2008/12,楠梓,4.6,0.57,-,26.9,109,50,35.81,9.62,26.19,-,2.07,0.24,1.83,-,-,-,-,-,-,-,-,20.05,-,-,-,67.5,-,-,-
4689,高雄市,2008/12,美濃,2.3,0.43,-,30.5,81,44,16.96,3.17,13.79,-,-,-,-,-,-,-,-,-,-,-,-,20.72,-,-,-,73.51,-,-,-
4690,高雄市,2008/11,橋頭,4.7,0.51,-,28.7,99,53,27.17,5.44,21.73,-,-,-,-,-,-,-,-,-,-,-,-,23.62,-,-,-,73.94,-,-,-
4691,高雄市,2008/11,小港,12.5,0.68,-,28.1,106,61,44.25,9.98,34.37,-,2.153,0.399,1.75,-,-,-,-,-,-,-,-,24.89,-,-,-,67.56,-,-,-
4692,高雄市,2008/11,大寮,12.4,0.55,-,32.6,107,64,26.99,4.72,22.27,-,-,-,-,-,-,-,-,-,-,-,-,24.05,-,-,-,68.87,-,-,-
4693,高雄市,2008/11,復興,9.8,1.05,-,29.5,111,64,46.76,11.34,35.42,-,-,-,-,-,-,-,-,-,-,-,-,24.89,-,-,-,72.28,-,-,-
4694,高雄市,2008/11,美濃,2.6,0.39,-,33.7,85,49,14.56,2.81,11.75,-,-,-,-,-,-,-,-,-,-,-,-,24.9,-,-,-,77.3,-,-,-
4695,高雄市,2008/11,左營,6.1,0.61,-,33.1,98,60,26.36,3.71,22.64,-,2.219,0.3,1.92,-,-,-,-,-,-,-,-,23.63,-,-,-,73.8,-,-,-
4696,高雄市,2008/11,林園,12.5,0.5,-,40.4,114,57,26.95,5.05,22.07,-,2.167,0.248,1.92,-,-,-,-,-,-,-,-,24.39,-,-,-,76.4,-,-,-
4697,高雄市,2008/11,前金,6.8,0.65,-,34.3,104,65,29.3,4.25,25.05,-,2.382,0.323,2.06,-,-,-,-,-,-,-,-,24.35,-,-,-,68.96,-,-,-
4698,高雄市,2008/11,仁武,9.6,0.53,-,28.3,101,62,34.78,7.62,27.17,-,2.227,0.349,1.88,-,-,-,-,-,-,-,-,24.37,-,-,-,72.17,-,-,-
4699,高雄市,2008/11,楠梓,4.7,0.46,-,29.9,109,57,26.87,5.14,21.76,-,1.934,0.182,1.75,-,-,-,-,-,-,-,-,23.43,-,-,-,73.03,-,-,-
4700,高雄市,2008/11,鳳山,11.3,0.69,-,26.1,124,57,35.2,6.43,28.77,-,2.267,0.45,1.82,-,-,-,-,-,-,-,-,23.59,-,-,-,73.41,-,-,-
4701,高雄市,2008/11,前鎮,6.0,0.83,-,27.7,109,58,38.43,6.8,31.63,-,-,-,-,-,-,-,-,-,-,-,-,24.63,-,-,-,69.83,-,-,-
4702,基隆市,2018/11,基隆,2.2,0.29,-,32.0,24,10,11.85,2.21,9.64,-,1.896,0.082,1.81,-,-,-,-,-,1.35,1.0,21.96,-,-,-,-,84.42,-,-,-
4703,基隆市,2018/10,基隆,1.7,0.26,-,46.7,26,12,9.11,1.46,7.65,-,1.897,0.071,1.83,-,-,-,-,-,1.51,1.15,22.94,-,-,-,-,77.93,-,-,-
4704,基隆市,2018/09,基隆,2.0,0.22,-,29.2,23,11,10.18,1.99,8.19,-,1.918,0.068,1.85,-,-,-,-,-,1.75,1.26,28.05,-,-,-,-,75.45,-,-,-
4705,基隆市,2018/08,基隆,2.6,0.25,-,24.1,19,10,12.97,2.29,10.68,-,1.958,0.098,1.86,-,-,-,-,-,1.52,1.12,29.19,-,-,-,-,76.61,-,-,-
4706,基隆市,2018/07,基隆,2.3,0.19,-,19.9,19,10,10.63,2.19,8.44,-,1.878,0.082,1.8,-,-,-,-,-,1.97,1.46,29.58,-,-,-,-,73.25,-,-,-
4707,基隆市,2018/06,基隆,2.7,0.25,-,31.9,21,12,11.84,2.15,9.67,-,1.976,0.088,1.89,-,-,-,-,-,1.29,0.92,27.23,-,-,-,-,82.1,-,-,-
4708,基隆市,2018/05,基隆,3.4,0.31,-,36.2,29,17,14.29,1.74,12.54,-,2.018,0.104,1.91,-,-,-,-,-,1.33,0.96,26.6,-,-,-,-,76.55,-,-,-
4709,基隆市,2018/04,基隆,2.1,0.35,-,38.2,39,18,14.37,2.79,11.57,-,2.038,0.102,1.94,-,-,-,-,-,1.38,0.98,22.23,-,-,-,-,72.69,-,-,-
4710,基隆市,2018/03,基隆,2.4,0.37,-,34.4,29,16,15.83,3.3,12.52,-,2.046,0.103,1.94,-,-,-,-,-,1.37,0.92,19.33,-,-,-,-,74.55,-,-,-
4711,基隆市,2018/02,基隆,2.7,0.44,-,33.8,36,20,18.04,4.19,13.86,-,2.065,0.12,1.95,-,-,-,-,-,1.25,0.86,14.89,-,-,-,-,80.72,-,-,-
4712,基隆市,2018/01,基隆,1.9,0.33,-,33.5,21,11,12.96,2.71,10.24,-,1.962,0.079,1.88,-,-,-,-,-,1.52,1.17,16.24,-,-,-,-,79.92,-,-,-
4713,基隆市,2017/12,基隆,1.7,0.31,-,36.1,27,14,10.61,2.02,8.57,-,1.978,0.071,1.91,-,-,-,-,-,1.85,1.46,17.43,-,-,-,-,75.81,-,-,-
4714,基隆市,2017/11,基隆,1.7,0.29,-,31.8,20,10,11.56,2.14,9.41,-,1.953,0.074,1.88,-,-,-,-,-,1.58,1.19,21.68,-,-,-,-,86.36,-,-,-
4715,基隆市,2017/10,基隆,1.8,0.2,-,38.4,28,14,6.23,1.19,5.04,-,1.812,0.037,1.78,-,-,-,-,-,2.18,1.72,25.46,-,-,-,-,75.61,-,-,-
4716,基隆市,2017/09,基隆,2.5,0.28,-,31.4,24,16,12.44,2.03,10.4,-,1.855,0.093,1.76,-,-,-,-,-,1.6,1.22,28.63,-,-,-,-,75.22,-,-,-
4717,基隆市,2017/08,基隆,2.6,0.23,-,24.4,21,14,12.1,2.27,9.83,-,1.832,0.122,1.71,-,-,-,-,-,1.83,1.41,30.34,-,-,-,-,73.07,-,-,-
4718,基隆市,2017/07,基隆,2.7,0.22,-,19.5,19,11,12.02,2.68,9.34,-,1.812,0.101,1.71,-,-,-,-,-,1.78,1.26,30.38,-,-,-,-,77.24,-,-,-
4719,基隆市,2017/06,基隆,3.1,0.31,-,24.5,22,14,16.08,3.7,12.38,-,1.955,0.138,1.82,-,-,-,-,-,1.21,0.84,27.06,-,-,-,-,87.87,-,-,-
4720,基隆市,2017/05,基隆,2.0,0.3,-,35.7,24,15,12.54,2.4,10.14,-,1.955,0.1,1.86,-,-,-,-,-,1.27,0.95,24.37,-,-,-,-,87.27,-,-,-
4721,基隆市,2017/04,基隆,2.5,0.43,-,38.0,31,21,17.73,3.13,14.6,-,2.074,0.151,1.92,-,-,-,-,-,1.31,0.93,21.41,-,-,-,-,79.92,-,-,-
4722,基隆市,2017/03,基隆,2.9,0.42,-,39.3,30,19,18.07,3.12,14.94,-,2.103,0.135,1.97,-,-,-,-,-,1.16,0.77,17.02,-,-,-,-,85.17,-,-,-
4723,基隆市,2017/02,基隆,2.1,0.37,-,37.2,28,18,14.1,3.17,10.93,-,2.042,0.114,1.93,-,-,-,-,-,1.42,1.08,16.25,-,-,-,-,79.25,-,-,-
4724,基隆市,2017/01,基隆,1.9,0.37,-,33.3,26,16,13.24,3.04,10.2,-,2.041,0.112,1.93,-,-,-,-,-,1.41,1.09,17.16,-,-,-,-,85.32,-,-,-
4725,基隆市,2016/12,基隆,1.8,0.33,-,34.4,26,14,11.41,2.56,8.84,-,2.005,0.1,1.91,-,-,-,-,-,1.61,1.3,19.42,-,-,-,-,81.04,-,-,-
4726,基隆市,2016/11,基隆,1.6,0.34,-,31.1,24,11,13.53,3.58,9.95,-,2.038,0.115,1.92,-,-,-,-,-,1.58,1.24,21.86,-,-,-,-,84.08,-,-,-
4727,基隆市,2016/10,基隆,1.9,0.22,-,27.2,21,9,9.16,2.55,6.61,-,1.939,0.075,1.86,-,-,-,-,-,1.8,1.44,26.11,-,-,-,-,87.47,-,-,-
4728,基隆市,2016/09,基隆,2.3,0.24,-,27.7,23,11,10.29,2.51,7.78,-,1.979,0.083,1.9,-,-,-,-,-,1.96,1.53,27.31,-,-,-,-,85.18,-,-,-
4729,基隆市,2016/08,基隆,2.7,0.25,-,28.6,18,12,11.47,2.41,9.05,-,1.974,0.105,1.87,-,-,-,-,-,1.44,1.07,29.28,-,-,-,-,77.73,-,-,-
4730,基隆市,2016/07,基隆,2.8,0.26,-,24.5,21,13,13.89,2.96,10.94,-,1.987,0.137,1.85,-,-,-,-,-,1.62,1.24,29.62,-,-,-,-,78.85,-,-,-
4731,基隆市,2016/06,基隆,3.0,0.33,-,22.1,23,12,17.11,3.84,13.27,-,2.042,0.167,1.88,-,-,-,-,-,1.33,0.97,28.57,-,-,-,-,82.1,-,-,-
4732,基隆市,2016/05,基隆,2.8,0.35,-,28.9,27,15,14.14,2.95,11.18,-,2.066,0.127,1.94,-,-,-,-,-,1.22,0.88,25.74,-,-,-,-,86.3,-,-,-
4733,基隆市,2016/04,基隆,3.2,0.49,-,32.8,35,23,18.65,4.08,14.56,-,2.186,0.167,2.02,-,-,-,-,-,1.05,0.65,22.19,-,-,-,-,88.76,-,-,-
4734,基隆市,2016/03,基隆,3.0,0.48,-,32.7,33,20,23.22,6.7,16.51,-,2.2,0.17,2.03,-,-,-,-,-,1.14,0.73,16.63,-,-,363.8,-,83.8,-,-,-
4735,基隆市,2016/02,基隆,2.1,0.41,-,36.1,33,18,13.71,2.98,10.73,-,2.105,0.117,1.99,-,-,-,-,-,1.47,1.04,15.24,-,-,-,-,76.33,-,-,-
4736,基隆市,2016/01,基隆,2.3,0.45,-,28.1,29,18,17.79,5.32,12.47,-,1.986,0.148,1.84,-,-,-,-,-,1.22,0.81,15.94,-,-,-,-,81.8,-,-,-
4737,基隆市,2015/12,基隆,2.0,0.37,-,32.2,32,19,12.04,2.72,9.31,-,1.833,0.118,1.72,-,-,-,-,-,1.47,1.12,18.28,-,-,-,-,78.3,-,-,-
4738,基隆市,2015/11,基隆,1.9,0.35,-,33.6,26,15,11.1,2.35,8.74,-,1.814,0.105,1.71,-,-,-,-,-,1.47,1.16,22.83,-,-,-,-,80.28,-,-,-
4739,基隆市,2015/10,基隆,1.8,0.29,-,39.7,32,17,8.82,1.83,6.98,-,1.799,0.084,1.72,-,-,-,-,-,1.64,1.38,24.49,-,-,-,-,76.65,-,-,-
4740,基隆市,2015/09,基隆,2.1,0.32,-,35.0,27,15,12.21,2.62,9.59,-,1.863,0.111,1.75,-,-,-,-,-,1.49,1.13,26.42,-,-,-,-,75.39,-,-,-
4741,基隆市,2015/08,基隆,2.2,0.27,-,22.1,22,11,12.64,3.07,9.56,-,1.847,0.124,1.72,-,-,-,-,-,1.78,1.41,27.82,-,-,-,-,77.8,-,-,-
4742,基隆市,2015/07,基隆,3.0,0.28,-,24.8,29,17,13.55,2.68,10.87,-,1.802,0.113,1.69,-,-,-,-,-,1.66,1.25,29.11,-,-,-,-,79.67,-,-,-
4743,基隆市,2015/06,基隆,3.9,0.33,-,25.1,30,18,16.58,3.05,13.52,-,1.861,0.128,1.73,-,-,-,-,-,1.34,0.93,29.02,-,-,-,-,83.08,-,-,-
4744,基隆市,2015/05,基隆,3.0,0.4,-,28.9,30,18,17.06,3.5,13.56,-,-,-,-,-,-,-,-,-,1.12,-,25.47,-,-,-,-,87.06,-,-,-
4745,基隆市,2015/04,基隆,2.5,0.39,-,36.0,33,20,14.95,3.0,11.95,-,-,-,-,-,-,-,-,-,1.22,-,22.13,-,-,-,-,84.87,-,-,-
4746,基隆市,2015/03,基隆,2.4,0.44,-,34.6,30,19,16.31,3.87,12.43,-,-,-,-,-,-,-,-,-,1.2,-,18.54,-,-,-,-,90.09,-,-,-
4747,基隆市,2015/02,基隆,2.4,0.44,-,34.2,36,23,16.11,3.59,12.51,-,-,-,-,-,-,-,-,-,1.23,-,17.08,-,-,-,-,82.69,-,-,-
4748,基隆市,2015/01,基隆,2.2,0.46,-,34.8,38,25,14.95,3.68,11.27,-,-,-,-,-,-,-,-,-,1.49,-,16.79,-,-,-,-,75.59,-,-,-
4749,基隆市,2014/12,基隆,2.7,0.48,-,32.4,41,25,18.35,5.52,12.83,-,-,-,-,-,-,-,-,-,1.39,-,17.26,-,-,-,-,75.29,-,-,-
4750,基隆市,2014/11,基隆,1.8,0.59,-,30.4,27,17,23.8,10.61,13.19,-,-,-,-,-,-,-,-,-,1.01,-,22.0,-,-,-,-,82.77,-,-,-
4751,基隆市,2014/10,基隆,1.7,0.31,-,42.9,38,22,9.61,1.91,7.69,-,-,-,-,-,-,-,-,-,1.55,-,24.51,-,-,-,-,77.08,-,-,-
4752,基隆市,2014/09,基隆,2.2,0.3,-,25.5,23,15,12.41,3.01,9.4,-,-,-,-,-,-,-,-,-,1.52,-,28.99,-,-,-,-,80.44,-,-,-
4753,基隆市,2014/08,基隆,3.0,0.32,-,22.7,24,16,14.73,3.2,11.54,-,-,-,-,-,-,-,-,-,1.28,-,29.8,-,-,-,-,78.81,-,-,-
4754,基隆市,2014/07,基隆,2.6,0.26,-,20.0,23,13,11.75,2.99,8.77,-,-,-,-,-,-,-,-,-,1.65,-,30.39,-,-,-,-,78.41,-,-,-
4755,基隆市,2014/06,基隆,2.9,0.34,-,26.0,27,17,15.31,3.59,11.72,-,-,-,-,-,-,-,-,-,1.14,-,27.7,-,-,-,-,87.07,-,-,-
4756,基隆市,2014/05,基隆,2.7,0.47,-,30.0,28,18,18.98,4.26,14.72,-,-,-,-,-,-,-,-,-,1.09,-,25.03,-,-,-,-,88.23,-,-,-
4757,基隆市,2014/04,基隆,2.3,0.42,-,41.3,33,22,14.64,2.26,12.38,-,-,-,-,-,-,-,-,-,1.26,-,21.97,-,-,-,-,82.48,-,-,-
4758,基隆市,2014/03,基隆,2.8,0.44,-,36.5,36,24,17.58,3.42,14.15,-,-,-,-,-,-,-,-,-,1.34,-,18.64,-,-,-,-,79.25,-,-,-
4759,基隆市,2014/02,基隆,2.2,0.43,-,29.2,24,17,18.42,4.46,13.94,-,-,-,-,-,-,-,-,-,1.27,-,16.42,-,-,-,-,84.9,-,-,-
4760,基隆市,2014/01,基隆,2.9,0.49,-,32.8,41,28,20.04,5.07,14.96,-,-,-,-,-,-,-,-,-,1.49,-,-,16.56,-,-,-,70.64,-,-,-
4761,基隆市,2013/12,基隆,2.5,0.47,-,31.8,36,25,16.85,3.74,13.11,-,-,-,-,-,-,-,-,-,1.4,-,-,16.53,-,-,-,82.4,-,-,-
4762,基隆市,2013/11,基隆,2.3,0.4,-,33.9,39,22,13.57,3.32,10.25,-,2.044,0.113,1.93,-,-,-,-,-,-,-,-,21.01,-,-,-,80.27,-,-,-
4763,基隆市,2013/10,基隆,1.7,0.26,-,42.0,37,18,8.83,1.86,6.96,-,1.904,0.067,1.84,-,-,-,-,-,-,-,-,24.45,-,-,-,76.19,-,-,-
4764,基隆市,2013/09,基隆,1.2,0.22,-,28.8,25,12,7.87,2.06,5.81,-,1.895,0.064,1.83,-,-,-,-,-,1.96,-,-,27.55,-,-,-,79.84,-,-,-
4765,基隆市,2013/08,基隆,2.6,0.28,-,20.5,19,12,14.71,3.89,10.82,-,1.925,0.119,1.81,-,-,-,-,-,-,-,-,29.54,-,-,-,77.26,-,-,-
4766,基隆市,2013/07,基隆,2.8,0.27,-,21.5,20,13,13.89,3.22,10.67,-,1.895,0.113,1.78,-,-,-,-,-,-,-,-,29.95,-,-,-,71.59,-,-,-
4767,基隆市,2013/06,基隆,3.0,0.36,-,28.6,26,17,15.48,3.29,12.19,-,1.962,0.12,1.84,-,-,-,-,-,-,-,-,28.69,-,-,-,80.34,-,-,-
4768,基隆市,2013/05,基隆,2.5,0.4,-,29.0,22,14,17.33,4.5,12.83,-,2.043,0.127,1.92,-,-,-,-,-,-,-,-,25.81,-,-,-,84.23,-,-,-
4769,基隆市,2013/04,基隆,2.3,0.51,-,39.9,37,24,18.29,3.12,15.17,-,2.134,0.136,2.0,-,-,-,-,-,-,-,-,21.19,-,-,-,82.9,-,-,-
4770,基隆市,2013/03,基隆,2.6,0.5,-,31.3,39,24,20.91,5.09,15.83,-,2.148,0.159,1.99,-,-,-,-,-,-,-,-,18.91,-,-,-,84.13,-,-,-
4771,基隆市,2013/02,基隆,2.5,0.48,-,27.9,26,18,19.67,5.5,14.17,-,2.114,0.138,1.98,-,-,-,-,-,-,-,-,18.0,-,-,-,90.1,-,-,-
4772,基隆市,2013/01,基隆,2.2,0.45,-,30.1,29,20,16.69,4.53,12.16,-,2.092,0.13,1.96,-,-,-,-,-,-,-,-,16.51,-,-,-,83.81,-,-,-
4773,基隆市,2012/12,基隆,2.1,0.44,-,30.2,30,17,14.75,3.83,10.92,-,2.064,0.12,1.95,-,-,-,-,-,-,-,-,17.64,-,-,-,83.82,-,-,-
4774,基隆市,2012/11,基隆,2.0,0.46,-,33.6,36,22,16.57,3.92,12.65,-,2.122,0.142,1.98,-,-,-,-,-,-,-,-,20.95,-,-,-,81.84,-,-,-
4775,基隆市,2012/10,基隆,1.4,0.3,-,42.5,34,19,9.88,1.8,8.08,-,1.984,0.082,1.9,-,-,-,-,-,-,-,-,23.9,-,-,-,74.6,-,-,-
4776,基隆市,2012/09,基隆,1.6,0.25,-,34.4,26,15,9.52,2.55,6.97,-,1.914,0.08,1.83,-,-,-,-,-,-,-,-,27.1,-,-,-,76.81,-,-,-
4777,基隆市,2012/08,基隆,2.5,0.27,-,18.4,25,14,13.53,3.68,9.85,-,1.931,0.103,1.83,-,-,-,-,-,-,-,-,28.79,-,-,-,82.04,-,-,-
4778,基隆市,2012/07,基隆,1.9,0.24,-,23.1,21,13,13.73,3.16,10.57,-,1.909,0.13,1.78,-,-,-,-,-,-,-,-,29.71,-,-,-,77.14,-,-,-
4779,基隆市,2012/06,基隆,2.4,0.32,-,26.3,23,13,14.7,3.5,11.21,-,1.957,0.106,1.85,-,-,-,-,-,-,-,-,27.3,-,-,-,86.11,-,-,-
4780,基隆市,2012/05,基隆,2.1,0.35,-,39.3,30,17,13.19,2.51,10.68,-,1.99,0.096,1.89,-,-,-,-,-,-,-,-,25.06,-,-,-,83.25,-,-,-
4781,基隆市,2012/04,基隆,2.5,0.45,-,33.9,34,21,19.14,4.33,14.81,-,2.118,0.148,1.97,-,-,-,-,-,-,-,-,22.68,-,-,-,81.44,-,-,-
4782,基隆市,2012/03,基隆,3.3,0.52,-,33.9,38,24,23.91,6.8,17.11,-,2.201,0.181,2.02,-,-,-,-,-,-,-,-,17.98,-,-,-,81.84,-,-,-
4783,基隆市,2012/02,基隆,2.2,0.48,-,29.3,24,17,19.25,6.13,13.12,-,2.118,0.153,1.97,-,-,-,-,-,-,-,-,15.97,-,-,-,89.08,-,-,-
4784,基隆市,2012/01,基隆,1.9,0.45,-,29.9,28,20,16.35,4.86,11.49,-,2.058,0.12,1.94,-,-,-,-,-,-,-,-,15.76,-,-,-,87.15,-,-,-
4785,基隆市,2011/12,基隆,1.6,0.34,-,31.3,27,18,12.34,3.21,9.13,-,2.006,0.094,1.91,-,-,-,-,-,-,-,-,16.83,-,-,-,84.53,-,-,-
4786,基隆市,2011/11,基隆,1.5,0.31,-,30.9,24,15,12.45,3.45,8.99,-,2.042,0.146,1.9,-,-,-,-,-,-,-,-,22.56,-,-,-,85.73,-,-,-
4787,基隆市,2011/10,基隆,1.5,0.31,-,36.5,33,19,13.08,4.73,8.35,-,1.997,0.099,1.9,-,-,-,-,-,-,-,-,24.05,-,-,-,81.84,-,-,-
4788,基隆市,2011/09,基隆,2.3,0.31,-,31.3,35,22,12.73,2.97,9.75,-,1.981,0.1,1.88,-,-,-,-,-,-,-,-,27.06,-,-,-,78.58,-,-,-
4789,基隆市,2011/08,基隆,3.2,0.28,-,21.6,22,14,14.48,3.97,10.51,-,1.944,0.117,1.83,-,-,-,-,-,-,-,-,29.4,-,-,-,75.95,-,-,-
4790,基隆市,2011/07,基隆,3.2,0.33,-,25.0,25,17,16.14,3.87,12.28,-,1.985,0.135,1.85,-,-,-,-,-,-,-,-,29.41,-,-,-,75.67,-,-,-
4791,基隆市,2011/06,基隆,3.9,0.34,-,22.4,25,16,18.62,4.48,14.14,-,1.997,0.134,1.86,-,-,-,-,-,-,-,-,28.42,-,-,-,78.44,-,-,-
4792,基隆市,2011/05,基隆,2.9,0.41,-,35.7,29,19,19.02,3.77,15.25,-,2.086,0.137,1.95,-,-,-,-,-,-,-,-,24.18,-,-,-,84.87,-,-,-
4793,基隆市,2011/04,基隆,3.5,0.48,-,41.6,49,31,21.28,3.69,17.58,-,2.137,0.148,1.99,-,-,-,-,-,-,-,-,20.78,-,-,-,74.82,-,-,-
4794,基隆市,2011/03,基隆,3.4,0.45,-,41.2,47,27,19.08,4.89,14.19,-,2.066,0.128,1.94,-,-,-,-,-,-,-,-,16.04,-,-,-,76.67,-,-,-
4795,基隆市,2011/02,基隆,2.3,0.56,-,30.3,38,28,21.95,5.92,16.03,-,2.208,0.176,2.03,-,-,-,-,-,-,-,-,16.53,-,-,-,82.69,-,-,-
4796,基隆市,2011/01,基隆,2.1,0.42,-,29.4,27,18,16.3,5.53,10.77,-,2.015,0.113,1.9,-,-,-,-,-,-,-,-,14.04,-,-,-,83.3,-,-,-
4797,基隆市,2010/12,基隆,3.8,0.53,-,25.4,49,28,26.15,7.4,18.75,-,2.148,0.175,1.97,-,-,-,-,-,-,-,-,17.07,-,-,-,74.52,-,-,-
4798,基隆市,2010/11,基隆,1.9,0.34,-,32.8,33,21,14.21,2.9,11.31,-,2.022,0.104,1.92,-,-,-,-,-,-,-,-,21.06,-,-,-,78.65,-,-,-
4799,基隆市,2010/10,基隆,1.5,0.27,-,34.0,31,18,10.64,2.63,8.01,-,1.952,0.075,1.88,-,-,-,-,-,-,-,-,24.42,-,-,-,81.56,-,-,-
4800,基隆市,2010/09,基隆,2.0,0.26,-,25.9,20,12,12.06,3.46,8.6,-,1.926,0.105,1.82,-,-,-,-,-,-,-,-,28.48,-,-,-,76.76,-,-,-
4801,基隆市,2010/08,基隆,3.0,0.29,-,19.6,19,12,16.01,4.79,11.22,-,1.936,0.127,1.81,-,-,-,-,-,-,-,-,29.76,-,-,-,75.73,-,-,-
4802,基隆市,2010/07,基隆,3.7,0.31,-,20.3,21,14,18.37,5.0,13.36,-,1.89,0.147,1.74,-,-,-,-,-,-,-,-,30.16,-,-,-,71.5,-,-,-
4803,基隆市,2010/06,基隆,3.1,0.51,-,19.8,27,17,25.6,9.57,16.03,-,2.081,0.212,1.87,-,-,-,-,-,-,-,-,25.9,-,-,-,84.76,-,-,-
